,avgRating,Votes,approval_Index,budget,DomesticGross,WorldwideGross,runtime
592,5.7,58509.0,4.471657135572582,80000000,17480890,33463969,106.0
593,5.9,79868.0,4.768270417420276,80000000,15074191,40147042,99.0
594,6.1,62180.0,4.822020021990789,80000000,14947969,29400826,134.0
595,4.2,19971.0,2.928052980473624,80000000,1900451,6300451,110.0
596,8.5,1066010.0,8.548206678442119,79300000,421785283,986193783,88.0
597,5.7,106393.0,4.722428100402162,79000000,103860290,318146162,94.0
598,3.3,86122.0,2.6272090628742744,79000000,74158157,150519217,91.0
599,8.2,938498.0,8.164991702387683,78000000,170708996,317668058,135.0
600,6.3,105870.0,5.23111834261006,78000000,119793567,274392649,95.0
601,7.2,277305.0,6.507344189381654,78000000,92955420,206455420,124.0
602,6.7,83245.0,5.453105228657579,78000000,67286731,108086731,136.0
603,5.8,178201.0,5.027688904864611,78000000,66465204,179265204,110.0
604,5.1,37521.0,3.820371215264792,78000000,41814863,43957541,114.0
605,7.7,63266.0,6.131199466528486,77500000,1311213,102028919,108.0
606,6.7,163896.0,5.787053390506544,77000000,102084362,190376181,121.0
607,7.3,404930.0,6.802898283683464,76000000,368065385,975216835,98.0
608,5.9,277710.0,5.3092381321169615,76000000,127120058,236410607,107.0
609,7.9,505051.0,7.501298769838536,76000000,35552383,69845011,109.0
610,4.3,20586.0,3.010502904782837,76000000,26000610,35129610,92.0
611,6.5,205402.0,5.718326357220311,75000000,368384330,885302500,87.0
612,7.0,580008.0,6.70297248150487,75000000,306169255,817400878,145.0
613,7.1,174292.0,6.172546048346588,75000000,270329045,631064182,108.0
614,6.2,139081.0,5.270454504613551,75000000,264624300,1032809657,89.0
615,6.5,422716.0,6.0634858937346205,75000000,229086679,618638999,129.0
616,6.8,282107.0,6.147090798874234,75000000,195330621,651899282,91.0
617,6.9,410150.0,6.429415820225928,75000000,193595521,556559566,86.0
618,5.9,256187.0,5.274219949213487,75000000,162001186,272222420,102.0
619,6.0,186542.0,5.225797153854384,75000000,161412000,371741123,90.0
620,7.3,620743.0,7.03234821565429,75000000,157299717,296872367,104.0
621,6.7,393561.0,6.218882321022887,75000000,134508551,342416460,110.0
622,7.4,342407.0,6.806581631590318,75000000,134069511,336069511,136.0
623,7.1,186026.0,6.206581609281386,75000000,129360575,203614138,124.0
624,6.8,360578.0,6.2698779760624666,75000000,120776832,196320329,99.0
625,6.7,132687.0,5.682922405784319,75000000,118871849,202822861,117.0
626,7.2,667391.0,6.97259324959803,75000000,117723989,342769200,115.0
627,6.6,74746.0,5.317453058626917,75000000,103365956,155620350,130.0
628,7.2,79505.0,5.84554015373007,75000000,99215042,197744377,104.0
629,4.1,49017.0,3.126053041509422,75000000,97387965,97387965,78.0
630,6.0,170593.0,5.186342149335838,75000000,83504017,211562435,110.0
631,7.4,465362.0,6.9736290907685285,75000000,77073959,218673959,128.0
632,7.0,351616.0,6.44520098173475,75000000,75976178,221593554,121.0
633,5.2,130061.0,4.373464662338275,75000000,73865530,162759437,104.0
634,6.6,124506.0,5.565232221178071,75000000,73661010,141267370,91.0
635,5.9,62721.0,4.6633592580773255,75000000,68473360,213500000,124.0
636,6.7,51902.0,5.220219005203839,75000000,64062587,73521587,108.0
637,7.0,39743.0,5.322390431199191,75000000,60761390,188668688,97.0
638,5.6,70463.0,4.467491792807304,75000000,55849401,94944017,118.0
639,6.6,139874.0,5.621749780163369,75000000,53809574,147474138,158.0
640,7.5,229797.0,6.680278735120172,75000000,47379090,131492772,164.0
641,5.4,93011.0,4.41353427990585,75000000,47059963,95572749,100.0
642,6.6,124639.0,5.565750668079195,75000000,43632458,85632458,121.0
643,5.5,100843.0,4.530423499034511,75000000,42285169,72785169,110.0
644,6.4,85250.0,5.214240534248189,75000000,42044321,54344321,131.0
645,6.5,68973.0,5.196447124486676,75000000,41523271,71523271,123.0
